['AKB48']
11
11
11
13
14
15
12
13
13
18
20
25
18
14
13
13
13
16
15
12
11
12
11
17
15
14
9
10
11
11
11
13
13
10
9
10
10
10
13
14
10
10
10
10
11
14
13
11
11
12
12
12
15
15
11
11
10
11
10
13
12
12
9
10
11
10
15
15
12
10
11
11
13
14
14
11
13
23
17
13
15
15
12
12
12
12
13
15
16
11
11
12
14
18
100
40
19
14
14
13
13
15
15
11
12
12
11
11
17
15
11
10
10
10
11
15
15
11
10
10
10
10
15
14
15
11
10
11
10
13
14
10
10
9
10
10
12
12
10
10
10
10
10
14
12
10
9
9
10
10
12
12
9
9
9
8
9
10
10
9
9
9
9
11
12
13
9
9
10
10
10
12
12
9
8
9
8
9
10
10
9
8
8
9
10
11
10
11
8
8
10
9
10
10
7
7
8
8
8
11
10
9
8
8
8
8
11
10
15
9
9
8
8
10
10
8
8
8
7
8
11
10
7
9
9
8
8
8
9
9
8
8
8
8
9
10
7
7
7
7
7
8
10
8
9
34
35
34
36
34
30
29
30
33
32
39
37
27
32
32
28
33
40
36
32
31
38
36
32
38
38
31
30
35
38
38
39
37
33
30
30
32
42
46
46
39
34
37
55
51
100
52
50
53
86
74
51
48
52
50
51
66
63
51
49
50
45
51
58
58
46
47
53
51
49
58
72
51
52
61
56
51
74
72
57
52
51
56
59
64
67
50
50
51
56
54
58
65
49
51
48
46
54
66
65
49
55
60
53
59
68
61
46
47
46
47
50
56
67
48
44
49
45
44
55
53
44
42
69
53
46
55
57
44
44
65
48
47
53
62
43
45
41
43
44
58
52
43
41
44
40
41
51
51
43
38
42
45
45
52
50
40
43
46
41
43
52
53
44
38
39
41
45
58
55
46
49
46
46
48
64
56
44
47
45
45
48
62
62
44
48
51
53
49
60
58
52
57
46
50
48
53
63
46
43
57
51
55
72
79
62
75
61
59
57
66
61
53
64
87
60
56
61
67
50
54
59
59
79
64
64
49
48
60
100
88
69
66
54
60
55
47
51
58
66
59
44
51
46
48
65
67
52
48
50
45
51
67
77
51
47
48
49
56
63
57
44
44
48
48
46
56
58
47
44
51
55
63
66
60
44
45
47
45
45
60
66
47
45
43
44
45
59
63
40
42
47
47
47
56
57
47
46
53
49
59
67
64
45
45
