['Angelababy']
23
28
28
29
28
22
21
25
31
32
30
30
26
29
24
31
26
30
29
27
26
24
22
22
26
30
21
17
15
21
20
30
28
26
18
17
23
29
36
45
24
20
24
22
19
33
30
24
16
21
27
16
27
24
20
22
18
22
25
30
34
23
28
27
27
24
37
42
26
26
23
26
25
38
40
26
25
26
27
35
34
38
26
27
24
35
35
46
52
36
34
30
25
29
35
39
30
28
34
51
81
100
99
76
60
54
49
48
57
78
75
83
58
46
45
62
59
53
52
38
42
41
44
41
31
36
45
59
51
59
62
44
38
34
34
41
61
65
46
41
35
31
43
47
48
36
28
29
30
29
47
55
37
29
27
27
29
34
47
32
32
36
32
32
47
45
29
26
27
20
34
39
43
35
27
26
29
29
49
49
31
32
42
38
46
54
51
31
34
31
39
43
57
59
40
31
38
29
31
45
38
31
25
24
24
27
57
73
46
44
33
29
31
35
37
23
35
28
27
27
43
38
43
31
22
28
28
36
40
32
28
29
28
27
33
32
36
32
16
23
26
36
40
24
21
41
41
43
59
62
40
35
29
37
44
66
67
43
43
43
41
46
57
66
66
42
76
44
50
48
62
36
33
41
51
44
56
73
50
44
49
52
72
60
81
64
100
69
57
71
71
4
5
6
6
6
5
5
4
4
4
6
6
4
4
4
3
4
6
5
5
5
4
4
4
5
5
4
4
4
5
4
5
6
3
4
4
4
3
4
6
4
3
5
5
4
5
6
5
5
5
5
6
7
7
5
5
4
4
5
6
7
5
4
4
4
4
4
6
4
4
3
3
5
5
6
5
4
4
3
4
5
6
4
5
4
6
8
8
7
4
5
6
7
7
7
7
6
8
11
100
99
49
30
20
16
17
50
58
44
49
50
42
26
26
24
23
20
18
14
13
9
12
12
11
6
6
6
6
6
7
9
6
6
5
5
6
7
7
6
5
7
6
6
7
9
7
5
6
7
7
8
8
5
4
6
5
7
9
9
7
8
7
6
7
7
9
8
8
9
6
7
9
10
8
7
7
8
9
8
8
7
7
7
7
8
7
8
5
4
4
4
5
7
6
4
4
4
3
5
6
6
4
4
4
4
4
5
5
4
4
3
5
5
6
5
5
4
4
4
4
6
6
5
5
5
5
5
5
6
4
3
3
3
4
5
6
4
4
4
4
5
5
7
5
4
4
4
4
4
5
3
3
3
3
3
5
4
4
4
