['BTOB']
99
88
93
92
97
88
90
79
79
77
88
95
76
70
76
70
72
66
73
67
69
66
64
67
72
74
71
65
66
60
59
71
69
72
65
64
64
66
69
76
82
84
69
100
97
96
38
38
37
40
43
36
37
49
43
37
44
64
65
55
47
51
53
55
50
53
48
51
53
56
59
54
45
47
44
51
44
52
55
47
42
40
43
50
51
46
38
36
40
36
37
43
45
36
35
35
35
37
47
48
38
37
39
40
37
36
38
36
35
32
36
32
36
37
31
31
31
35
33
37
37
42
38
38
36
41
41
47
44
45
35
40
44
39
46
42
37
39
42
47
46
46
40
39
35
40
41
45
38
34
41
36
37
37
43
36
37
32
28
32
34
36
34
39
28
32
32
32
33
29
31
29
32
29
31
33
33
29
30
37
53
48
54
56
49
45
43
48
52
51
53
45
42
42
36
40
50
53
49
43
42
35
33
50
42
38
40
36
36
40
34
52
42
34
34
36
39
42
38
43
35
38
31
37
31
43
37
37
35
37
39
40
57
50
45
42
41
41
49
50
40
37
34
36
42
41
43
39
37
32
34
35
36
42
37
39
31
32
37
36
41
31
30
29
33
36
42
35
31
34
30
32
36
32
35
36
34
31
31
33
38
71
83
61
53
68
79
81
79
74
100
79
71
74
100
87
76
71
64
77
85
90
88
65
66
66
67
61
70
74
62
57
57
53
62
66
73
59
61
59
60
63
65
69
53
59
48
53
61
66
60
59
59
58
51
51
57
61
55
54
53
59
68
70
65
49
45
50
48
48
54
66
44
42
39
45
52
54
60
45
38
39
39
39
46
49
38
37
36
42
36
44
43
36
37
38
43
44
38
46
39
37
35
49
48
48
44
41
35
35
37
38
47
64
72
53
49
57
50
61
60
50
49
54
51
48
64
56
39
38
39
39
40
46
48
38
39
36
43
46
49
54
41
39
39
41
37
49
46
38
41
39
37
35
47
48
36
39
41
37
42
47
56
40
33
35
35
37
39
43
41
33
40
33
33
43
42
34
35
35
39
36
40
40
35
39
38
40
51
46
49
46
44
52
45
48
47
47
36
35
39
38
34
38
39
30
30
32
42
32
40
38
42
39
39
44
45
35
39
37
38
30
37
39
40
45
36
31
32
36
37
39
51
42
44
45
39
45
44
41
45
42
41
36
39
43
43
33
32
37
34
39
44
38
34
36
39
34
38
39
45
37
31
35
36
36
42
38
37
35
