['ASTRO']
82
80
87
94
93
81
83
83
88
94
100
95
86
85
87
89
90
99
96
86
86
84
81
80
86
94
83
87
86
82
84
91
90
86
90
87
87
87
89
96
94
97
89
93
94
95
79
75
74
80
75
71
72
79
80
74
77
81
75
74
74
71
66
76
73
68
72
75
72
81
79
76
75
93
82
75
81
83
78
77
74
76
75
77
81
82
74
72
73
71
77
84
91
74
73
71
73
75
89
85
76
79
76
73
75
86
82
72
74
71
75
75
74
80
75
76
73
74
75
85
73
75
80
74
70
71
80
82
75
75
76
72
74
80
86
82
77
78
78
74
82
89
76
78
79
74
88
82
89
87
78
75
81
75
83
84
80
82
81
81
83
84
85
75
77
78
74
75
83
85
76
73
77
77
79
87
88
82
79
83
83
84
82
85
78
77
73
76
79
86
89
81
78
78
86
98
95
97
92
89
86
83
82
93
94
85
80
76
79
81
93
98
83
90
86
82
78
85
87
84
84
84
83
100
95
90
88
89
91
95
88
82
81
75
75
74
76
76
82
74
69
67
68
73
74
76
73
71
71
73
75
71
81
78
71
72
72
72
74
75
69
73
75
73
75
73
76
77
70
69
70
73
71
74
72
70
72
77
75
70
77
77
79
86
85
82
80
84
94
76
76
75
73
79
83
78
70
71
72
72
74
73
77
72
75
69
68
71
74
75
67
68
70
74
68
66
78
74
70
70
71
75
76
75
69
70
70
70
76
77
76
71
68
70
68
69
75
74
67
69
69
66
71
78
72
67
71
67
69
70
73
74
68
66
67
72
72
77
68
64
66
68
69
69
70
71
66
70
68
66
80
74
73
67
66
68
69
68
76
70
70
68
68
72
69
72
77
70
66
70
73
78
88
78
75
72
73
77
72
78
79
74
71
72
74
75
83
80
76
76
77
85
87
94
86
72
73
76
78
75
82
87
80
78
72
71
75
82
77
71
75
68
71
72
79
83
76
72
70
76
74
77
83
78
75
74
75
78
79
78
74
71
70
75
73
81
74
69
76
90
74
92
100
74
74
71
71
68
70
77
73
71
75
69
76
77
83
74
71
70
70
69
74
78
75
68
72
72
70
74
72
73
68
72
71
72
71
80
76
72
70
68
70
72
75
71
66
68
68
67
70
73
70
64
68
73
67
68
75
77
69
69
67
73
78
96
82
75
78
74
72
71
77
82
74
75
71
77
76
78
80
68
67
67
76
77
81
81
76
75
