['As One']
78
75
71
48
57
74
68
53
42
43
42
55
82
89
87
84
81
57
70
100
93
89
87
75
55
60
86
83
78
75
63
47
48
56
55
51
43
41
35
34
35
39
40
42
38
37
86
87
80
58
73
90
91
88
83
64
62
67
93
91
92
86
76
62
74
98
95
94
91
85
67
80
100
99
91
88
83
62
74
97
98
91
96
87
61
79
98
94
97
91
82
65
74
94
90
89
92
77
57
69
85
80
83
77
67
56
60
77
74
73
74
65
50
60
74
71
73
71
61
45
55
53
64
64
68
59
49
56
66
69
63
67
61
53
58
66
63
66
64
60
52
54
66
64
63
61
54
52
55
62
63
67
60
54
45
51
52
54
54
58
56
45
51
60
55
56
52
51
45
57
63
60
57
54
54
47
52
57
58
53
57
57
52
54
57
53
55
53
50
42
44
51
51
50
49
45
44
43
47
48
49
52
46
40
46
50
56
60
65
57
51
57
65
70
69
72
71
57
59
67
83
83
79
72
57
71
88
80
80
82
71
62
76
93
85
86
86
75
56
71
89
89
84
82
74
57
70
86
85
85
89
74
59
64
85
86
92
89
85
65
81
98
88
84
85
75
56
74
92
85
91
84
74
54
71
91
87
92
85
81
55
72
92
86
83
88
75
58
71
99
99
47
47
43
40
39
47
48
46
50
44
42
45
48
49
47
48
47
44
49
46
50
47
46
46
40
46
46
50
50
49
45
41
44
50
49
46
47
44
41
44
48
48
44
47
43
45
43
48
45
48
46
49
41
47
48
55
54
56
56
46
52
61
61
61
61
57
50
52
60
64
70
70
63
53
66
75
69
71
72
69
55
65
74
77
73
71
67
52
67
75
71
72
69
64
52
63
81
72
76
71
64
56
63
73
71
75
74
67
48
58
77
73
74
72
68
51
58
74
78
72
76
66
50
55
78
78
79
74
67
53
60
80
75
72
74
73
58
66
82
79
76
77
70
48
60
79
66
56
45
48
50
59
78
77
77
74
71
54
63
86
80
79
75
70
48
56
70
67
65
63
55
41
47
46
46
44
37
41
42
41
43
41
43
45
43
49
51
58
64
67
68
67
46
52
70
71
74
73
64
53
57
71
73
77
81
75
56
68
84
84
92
83
79
61
74
92
90
91
86
81
64
78
94
89
90
90
82
62
67
82
88
94
91
82
59
77
97
88
96
92
90
60
79
100
90
91
96
84
61
71
98
92
84
91
74
59
72
91
86
