['BIGBANG']
23
23
25
36
33
24
24
25
26
31
34
32
23
24
22
25
31
34
32
26
26
26
25
30
37
44
82
100
67
53
47
51
57
43
41
40
45
43
45
43
40
46
50
55
53
42
53
52
57
59
56
51
51
51
53
55
59
57
49
47
46
46
50
61
61
49
46
43
45
45
59
55
41
44
46
43
44
57
51
42
43
43
51
57
63
63
48
48
48
49
56
63
63
49
52
51
54
53
55
56
42
44
45
43
46
62
59
45
50
43
41
48
52
54
42
42
48
55
54
67
61
50
47
53
48
48
57
55
47
47
42
42
48
54
56
49
44
46
45
44
51
57
44
45
45
45
49
55
51
42
51
52
49
51
62
55
50
48
44
48
50
65
56
44
44
43
50
52
58
57
47
47
49
54
47
59
55
51
47
51
65
84
100
95
72
58
60
58
60
56
56
46
45
47
46
47
51
50
45
42
47
58
54
64
59
46
47
43
46
49
71
63
50
49
45
46
49
56
59
42
38
42
47
51
65
60
44
42
40
39
39
50
58
45
41
36
39
38
46
42
35
34
38
36
41
51
45
40
37
33
37
41
45
44
40
35
37
36
36
42
38
36
35
37
36
41
55
47
37
40
40
47
41
45
45
41
44
44
54
57
79
77
59
55
42
52
48
61
53
50
48
100
74
66
67
63
50
48
45
47
56
60
62
47
45
43
41
44
49
47
43
41
42
41
47
52
48
39
41
41
53
58
69
65
51
77
92
70
69
70
85
56
51
47
47
45
51
52
44
49
42
43
44
57
54
42
39
40
41
42
54
45
36
35
34
35
34
42
41
34
30
32
30
33
39
37
28
30
30
31
32
41
38
32
33
35
38
43
47
47
38
33
37
37
37
43
43
36
34
36
36
35
42
41
35
35
37
35
35
42
39
32
34
32
33
34
39
41
32
30
31
31
32
36
39
32
36
35
34
34
46
46
36
36
39
50
50
54
57
42
36
37
37
43
50
48
37
36
32
33
35
42
43
34
35
51
56
54
62
58
40
40
37
36
37
44
40
33
33
35
31
35
40
38
31
33
36
38
42
36
37
33
32
35
42
47
41
38
32
34
37
33
37
47
46
38
32
30
30
31
37
37
26
26
32
31
31
39
35
29
29
29
29
34
40
38
32
37
40
40
76
75
67
55
48
44
48
46
49
48
36
36
38
38
39
48
48
41
45
50
48
42
49
49
36
37
34
37
40
47
57
44
39
39
36
36
42
41
34
33
