['ASCII']
100
94
82
48
49
86
89
81
81
73
45
51
86
98
95
97
79
44
47
82
88
87
87
77
42
44
79
84
85
81
75
39
44
74
73
74
73
59
45
38
42
50
54
58
49
40
94
89
85
49
53
80
87
87
80
67
49
49
71
86
90
90
93
48
50
84
90
97
98
88
52
51
86
91
92
88
86
46
51
85
93
97
90
82
51
48
83
91
81
90
83
46
45
76
82
84
79
72
49
49
85
84
91
90
79
48
51
72
85
91
86
78
45
49
79
86
84
83
77
44
43
73
82
86
85
76
46
48
75
84
84
78
71
41
44
75
84
83
78
73
40
40
71
82
78
81
69
40
40
69
79
81
77
66
37
38
61
72
73
73
68
40
40
73
75
72
70
67
32
36
68
76
74
74
68
36
34
65
73
74
74
73
34
36
62
70
70
72
70
36
33
71
75
73
69
63
37
36
60
73
73
69
68
33
37
75
81
85
82
76
39
41
78
84
82
84
75
42
42
67
89
92
92
79
42
46
88
90
93
91
81
42
45
86
97
93
94
85
48
48
92
95
100
98
84
44
47
90
94
93
96
83
45
44
83
90
93
89
89
49
51
90
97
91
99
84
47
49
87
94
96
94
82
42
49
82
82
94
94
90
51
53
91
95
87
93
82
49
51
92
97
75
80
64
43
37
71
79
78
79
72
40
40
71
74
76
76
70
43
41
69
77
78
75
71
41
41
75
77
75
73
71
41
41
75
73
75
73
71
43
39
70
76
77
77
67
42
41
72
80
82
79
71
41
41
75
81
84
82
78
42
44
74
83
89
90
83
44
45
74
86
88
91
84
42
45
84
92
89
93
86
48
47
84
93
93
91
84
45
56
88
95
95
98
87
48
48
91
97
100
95
87
48
50
84
92
96
95
92
49
53
92
93
95
97
92
51
50
92
96
96
97
86
50
47
89
91
94
97
86
47
50
86
92
87
88
75
49
47
86
95
92
92
86
48
50
84
94
85
83
72
45
47
82
90
89
91
82
44
47
80
87
86
87
82
48
45
77
88
84
83
76
41
42
67
69
66
56
45
35
39
51
56
54
53
38
35
35
57
62
60
64
61
39
36
62
71
67
69
64
36
38
64
72
73
73
68
39
42
78
77
77
78
71
44
41
71
77
77
77
73
41
40
69
72
76
72
67
41
45
69
72
80
76
69
42
43
68
73
75
77
70
38
41
64
74
73
78
70
41
40
73
77
77
73
71
39
42
72
75
