"[""A'N'D""]"
99
97
97
92
97
98
97
92
91
88
93
96
99
97
98
97
96
91
97
100
100
96
99
91
86
93
98
98
94
93
91
88
91
91
90
89
89
86
86
82
84
88
90
91
90
89
94
95
91
87
91
94
93
92
91
89
90
90
94
94
93
92
91
89
93
96
96
98
96
93
89
93
97
96
95
95
94
90
90
97
97
96
96
93
88
93
97
96
96
97
93
90
92
98
95
97
96
92
88
89
97
96
94
94
89
87
90
93
94
91
91
89
89
90
91
93
92
93
87
85
88
85
91
90
91
88
88
88
89
91
89
90
86
85
88
88
88
88
87
86
86
87
87
88
87
89
87
85
88
87
90
87
85
83
85
88
83
85
87
89
87
88
87
88
87
87
84
83
85
88
88
88
88
89
85
86
90
86
88
87
89
86
87
90
90
91
89
86
85
83
85
85
86
83
84
83
85
86
86
86
85
84
83
82
85
84
89
87
90
88
86
90
90
92
92
91
89
89
89
86
92
95
92
90
89
90
93
92
91
93
90
87
92
94
95
95
94
92
87
92
96
95
93
93
88
86
89
93
92
92
91
88
86
89
90
91
95
92
90
87
92
93
96
92
90
88
87
90
94
94
92
94
89
84
88
90
91
97
95
92
86
90
94
94
86
95
91
89
91
97
100
86
88
84
84
84
86
89
89
88
85
85
91
89
88
89
88
87
88
90
90
91
92
89
87
87
90
89
90
90
88
85
88
89
89
91
90
89
87
88
89
90
90
89
89
86
87
89
90
92
91
88
87
88
89
88
90
91
89
88
87
89
91
90
92
92
88
87
90
90
93
92
93
91
88
90
92
93
92
91
91
87
91
93
94
92
94
89
87
91
92
94
93
90
89
87
89
94
93
95
92
89
87
91
96
96
92
93
89
89
90
93
94
93
91
91
87
90
94
94
95
93
91
85
89
95
96
95
96
91
86
90
93
93
92
92
88
83
90
94
94
94
95
91
86
92
94
92
87
85
86
88
92
94
97
94
95
92
88
93
96
98
96
94
92
89
90
94
98
93
92
91
87
88
89
90
87
88
80
87
90
89
90
91
91
91
90
93
92
94
94
96
93
88
93
94
94
94
93
91
90
91
93
96
97
95
94
92
94
96
96
96
97
93
90
95
96
96
95
98
94
95
95
98
100
98
97
94
90
91
95
98
97
96
93
92
95
98
98
98
99
96
94
94
98
98
97
97
95
91
92
97
97
97
94
93
91
93
97
96
