['3C']
89
99
93
89
96
93
89
88
88
85
85
83
90
90
95
81
88
82
84
100
93
93
93
80
79
84
88
89
91
84
85
83
79
90
92
87
85
80
69
72
80
82
76
81
78
68
89
89
90
88
89
89
87
87
97
85
89
94
83
83
90
84
83
79
95
84
94
88
81
83
86
90
96
93
78
86
76
84
89
88
87
87
85
80
75
79
86
85
84
75
77
81
82
82
80
85
85
88
76
86
91
91
88
78
81
76
84
88
90
93
94
96
100
93
95
89
82
77
77
83
79
84
81
86
78
75
81
78
78
80
76
83
84
73
73
72
84
75
81
82
84
81
82
88
77
72
80
85
80
81
81
79
79
74
73
86
82
79
85
72
78
65
71
74
73
82
72
76
76
72
78
82
88
81
70
72
70
78
82
77
78
78
75
67
77
74
74
82
76
74
73
79
79
77
84
70
67
69
68
76
75
78
69
76
72
85
71
74
87
76
74
71
77
76
76
73
66
71
75
80
78
68
71
70
76
70
79
81
71
63
64
64
71
65
82
64
65
67
66
66
71
72
92
80
77
66
80
80
77
79
75
78
76
77
78
78
73
74
78
75
71
76
67
83
76
73
74
65
71
70
68
70
68
77
67
74
70
71
72
74
73
67
72
70
70
69
73
62
71
73
72
66
69
68
62
70
78
74
66
68
73
69
66
70
75
89
85
95
84
93
90
86
85
84
85
84
80
94
87
90
94
89
88
84
91
93
100
92
94
85
89
97
92
98
88
90
86
86
96
93
85
92
92
84
82
89
86
90
87
91
84
76
90
89
84
84
84
83
80
93
85
94
88
90
79
83
88
92
85
89
74
86
84
90
91
86
87
85
73
77
86
89
91
88
96
87
87
82
88
91
88
82
79
80
91
87
83
84
89
77
78
98
90
89
81
89
89
84
90
91
87
87
80
78
84
91
87
90
88
86
84
76
92
87
88
82
84
83
92
91
90
91
93
79
78
85
90
97
88
95
94
88
86
96
83
88
89
81
81
73
86
81
82
82
83
77
68
80
87
76
88
85
73
78
80
93
81
89
82
81
81
91
88
89
88
85
89
94
89
89
88
84
83
86
80
86
85
81
88
79
81
81
87
85
87
96
90
78
79
84
83
89
85
81
79
81
79
85
90
95
78
82
92
89
94
96
95
98
92
85
97
85
93
92
87
87
77
97
90
98
90
86
81
78
93
93
89
85
87
89
91
94
97
85
96
96
100
94
99
95
