['Apple II']
72
69
73
84
85
64
96
79
81
100
97
89
80
79
87
65
73
64
87
77
58
50
94
65
63
59
85
69
79
59
50
79
72
83
64
76
68
72
60
62
78
82
92
78
51
63
62
65
77
75
70
84
77
80
68
82
72
60
58
69
71
54
67
72
61
65
76
61
68
64
53
69
62
53
64
49
56
73
69
69
74
62
69
54
64
79
56
77
60
74
75
65
62
44
72
92
56
59
55
63
58
62
53
52
65
62
67
50
60
41
47
72
78
57
73
81
61
64
44
42
34
81
66
70
64
68
71
80
90
60
53
59
68
57
66
67
57
67
54
45
64
63
50
61
53
58
54
56
66
51
42
52
46
62
50
53
68
56
78
35
52
54
76
44
70
50
41
61
48
56
52
60
65
59
77
67
49
45
40
61
62
54
52
57
63
57
46
39
68
56
56
55
59
47
63
69
21
51
50
34
34
49
61
58
30
44
66
72
69
43
48
61
59
78
54
75
49
37
56
68
55
100
78
82
71
69
73
83
58
42
88
82
95
76
82
46
49
58
47
72
89
56
77
74
44
76
85
58
58
69
62
56
74
81
71
64
78
71
68
67
86
56
75
72
58
64
70
77
90
90
68
71
86
64
73
55
74
66
42
64
69
63
71
86
34
56
60
75
69
77
79
29
26
22
19
22
28
27
24
22
28
26
31
20
21
43
29
28
26
26
26
32
29
33
25
27
23
20
26
36
22
29
25
31
25
27
28
26
23
25
27
26
30
29
24
16
33
30
24
23
31
18
25
23
24
27
33
26
35
31
29
28
37
39
30
40
27
29
25
29
37
100
56
35
30
30
33
26
27
38
28
29
26
33
19
32
26
34
34
38
34
32
19
26
26
28
30
36
33
32
27
30
37
30
28
35
23
33
28
32
35
26
20
32
22
32
33
35
31
30
28
28
25
29
33
35
27
32
18
32
41
33
36
31
31
26
25
30
33
22
25
26
35
31
36
40
36
28
33
40
41
31
36
40
39
30
36
33
19
32
35
32
31
25
26
32
30
33
23
31
28
35
34
25
35
26
32
29
37
44
29
33
39
38
26
42
20
33
32
37
34
26
27
22
32
32
27
23
28
28
34
32
28
26
22
20
29
22
27
35
27
22
32
26
34
24
30
34
26
35
42
42
37
31
31
22
35
28
28
31
34
30
26
33
32
28
38
46
31
30
28
29
38
34
24
25
20
27
21
22
36
41
41
39
34
28
34
27
33
28
