['B1A4']
32
30
34
40
42
27
32
30
24
26
39
31
27
31
29
33
33
38
33
32
34
32
27
39
27
48
45
41
37
32
46
45
41
39
42
42
45
56
66
100
99
77
84
71
67
76
72
59
54
58
56
56
62
62
55
48
46
47
49
55
55
44
44
45
47
57
66
55
37
33
33
39
43
47
58
38
38
40
34
45
50
47
43
38
41
38
42
50
48
34
32
33
38
32
43
38
30
28
28
29
34
42
39
32
31
30
26
31
35
44
29
29
29
34
39
36
41
29
34
33
30
29
35
42
32
30
29
30
33
36
44
40
33
29
38
38
32
38
32
35
38
33
38
41
45
33
24
31
27
28
39
37
27
31
25
23
29
33
30
24
27
34
40
34
39
34
31
29
32
30
30
31
31
27
28
37
40
37
44
46
34
28
36
42
50
47
42
32
28
39
29
29
34
31
35
28
28
30
30
32
38
30
30
28
30
27
40
36
31
28
25
28
31
40
42
26
28
31
29
32
33
35
29
28
28
25
26
30
38
28
36
36
32
29
39
33
30
28
25
25
25
32
34
26
19
23
21
26
28
32
25
23
21
27
21
30
29
27
25
15
17
20
23
25
18
16
20
19
17
25
84
100
67
56
57
55
54
50
36
38
36
32
41
43
45
35
37
30
35
36
39
38
28
32
26
30
31
32
31
27
25
27
26
23
31
52
55
58
88
96
64
71
66
58
62
66
81
59
58
60
59
63
86
70
50
49
56
59
53
71
61
57
37
56
53
46
66
59
56
51
47
52
63
76
77
49
51
44
53
61
64
55
59
44
45
60
44
59
60
44
43
44
47
46
55
57
49
33
35
40
54
59
49
42
43
45
58
58
53
65
54
45
47
52
46
65
57
48
52
38
47
45
55
56
40
38
54
46
47
64
50
39
48
52
48
48
51
61
41
38
36
40
53
54
52
42
43
38
37
39
45
43
38
41
36
39
36
46
51
36
34
36
45
44
46
39
35
31
38
34
40
51
48
49
42
48
50
42
55
56
43
37
40
37
36
53
58
47
39
38
39
30
46
35
31
51
59
42
52
53
55
43
51
62
54
51
61
76
52
62
66
56
56
55
78
53
57
56
64
100
91
74
67
53
48
54
53
71
70
50
59
54
55
47
80
72
58
62
58
54
62
66
59
48
49
57
49
48
53
68
53
53
70
85
71
83
75
67
54
54
48
57
61
65
43
47
46
46
56
73
71
41
44
38
54
59
48
66
46
53
