['BLACK PINK']
43
48
48
55
59
46
46
49
64
100
59
47
39
33
33
32
34
38
40
32
31
31
32
29
36
39
32
30
28
28
30
35
38
33
32
32
31
32
33
33
36
36
37
37
34
37
13
14
14
16
16
14
13
13
12
13
15
14
13
13
11
12
12
15
17
13
14
14
14
14
16
16
14
11
13
13
13
15
15
12
12
12
13
11
15
15
13
12
13
12
13
16
16
13
13
13
13
12
14
13
13
13
13
13
12
14
14
13
12
12
14
13
16
15
11
12
12
13
13
13
14
12
12
12
12
13
14
13
12
13
13
13
13
13
15
13
12
11
11
12
13
14
12
12
12
13
12
14
15
12
12
22
19
15
16
17
15
15
25
23
21
21
23
18
18
17
16
18
18
18
15
14
16
16
16
19
20
16
17
17
17
19
19
22
18
18
18
19
19
21
25
90
100
73
59
60
62
75
53
41
38
39
41
44
52
39
34
33
36
35
37
44
31
28
29
29
29
36
35
31
25
25
25
28
34
35
26
24
24
24
26
32
31
23
23
23
22
23
30
28
22
21
21
22
22
28
29
22
20
21
22
22
25
25
20
20
21
20
21
25
26
20
19
20
20
21
24
25
23
19
20
22
22
25
28
41
56
44
40
44
46
47
36
31
27
30
33
39
41
30
31
25
24
23
25
23
23
24
24
24
23
25
29
27
28
24
26
25
31
30
24
25
27
24
25
30
28
28
23
26
25
27
29
29
27
25
27
28
28
29
32
27
27
29
26
27
31
30
26
24
25
25
25
29
31
25
25
24
25
23
29
28
25
24
24
24
26
28
27
26
25
23
23
25
29
29
25
24
24
22
24
28
30
23
25
24
23
25
28
32
27
25
25
25
25
31
31
25
24
25
23
26
29
30
25
25
26
24
25
30
30
24
24
24
25
25
28
30
25
26
25
24
25
26
25
25
24
22
23
25
33
31
27
31
34
29
31
34
39
33
32
30
33
30
39
43
41
39
43
70
100
44
36
30
27
26
25
25
32
33
23
24
24
27
25
28
30
28
28
28
26
25
29
32
26
28
27
26
32
33
32
29
27
29
28
28
30
30
27
28
26
27
28
29
36
29
25
28
27
28
33
32
30
27
26
25
27
30
32
27
28
29
25
28
28
32
27
25
27
27
26
33
36
28
30
27
28
28
33
33
30
29
29
28
28
36
34
28
26
28
28
29
32
36
28
27
27
27
28
33
33
28
26
28
29
26
31
34
28
26
