['B-PROJECT']
2
2
3
4
5
2
4
4
3
4
2
20
7
5
3
4
4
5
6
4
4
6
4
3
5
3
3
2
3
5
2
2
7
2
3
3
3
2
4
4
2
3
3
3
3
2
3
2
3
2
2
3
3
3
9
5
4
4
4
5
3
3
2
2
3
2
4
5
2
2
3
4
2
5
3
3
2
2
6
3
5
2
2
2
3
3
8
8
4
4
3
3
4
3
4
3
4
4
4
6
5
9
26
11
14
12
16
19
98
100
48
36
35
24
32
61
52
33
22
24
20
22
42
38
26
22
22
22
16
31
50
25
24
27
20
25
38
46
28
23
19
22
17
41
49
31
20
21
15
19
33
33
20
14
21
18
19
24
33
20
16
19
17
20
29
27
26
19
17
15
22
33
40
25
12
16
15
22
31
28
18
14
15
15
18
23
35
15
12
12
13
14
28
43
22
18
23
14
14
16
16
11
9
13
11
13
16
15
11
6
5
11
6
12
12
7
8
8
9
12
14
12
9
7
8
7
11
7
15
7
8
7
9
10
13
13
5
6
7
6
6
10
10
5
6
47
31
51
63
100
55
37
62
48
35
55
58
31
36
47
28
35
29
46
28
31
28
25
32
53
58
42
40
48
36
39
34
45
42
62
48
56
48
56
64
66
52
67
45
53
53
0
0
0
0
0
0
6
6
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
7
0
0
0
0
6
6
7
0
7
0
0
6
0
11
7
7
6
0
0
0
22
12
14
0
6
12
0
100
82
36
30
30
10
12
19
25
14
10
9
14
6
8
25
9
6
8
10
6
19
0
18
6
6
14
0
12
14
0
12
6
6
9
9
7
9
12
9
10
0
14
9
10
17
0
12
12
25
7
7
10
15
12
12
9
7
12
8
6
6
12
12
14
18
20
23
10
12
27
7
17
12
9
6
6
12
13
11
15
21
14
22
14
7
29
11
13
10
15
20
19
20
6
9
8
24
18
17
27
27
16
10
14
0
22
17
0
6
18
25
19
27
7
10
6
7
10
0
11
11
0
6
8
12
20
11
17
14
6
6
12
19
7
7
6
18
8
6
13
12
16
8
12
12
8
6
9
7
10
16
6
8
13
18
14
13
19
8
14
34
26
21
8
8
12
15
13
21
14
6
16
10
27
10
16
14
10
6
12
12
19
17
20
12
16
20
15
34
42
35
38
26
