['All your base are belong to us']
46
65
61
43
43
56
56
59
46
55
34
30
77
77
39
65
53
77
59
63
57
61
57
100
30
32
56
73
77
39
63
47
77
42
63
53
72
41
42
38
42
45
74
57
70
59
66
67
83
46
46
51
50
28
44
48
59
42
54
41
40
47
58
58
90
68
61
69
64
77
47
75
39
35
62
50
57
73
77
46
60
78
46
50
61
45
36
24
29
49
69
99
66
69
43
65
30
33
56
73
69
31
66
78
68
59
43
82
50
42
59
62
58
36
38
31
30
45
49
62
66
41
35
39
72
71
55
62
51
40
52
32
49
30
53
41
49
30
52
55
42
60
65
42
22
62
81
78
34
34
19
39
54
45
53
56
71
55
38
39
39
42
76
61
58
64
45
57
58
55
58
73
32
31
57
59
33
62
25
28
42
32
36
40
40
45
28
14
42
39
28
51
44
35
30
64
66
45
40
71
46
31
41
62
42
50
51
31
79
34
36
38
36
44
41
44
44
45
38
68
44
35
49
35
31
38
57
63
50
41
78
41
44
63
43
42
30
37
44
55
18
39
58
36
43
60
51
42
29
15
44
44
95
24
60
39
39
47
67
82
72
55
66
54
38
62
48
59
35
65
74
64
64
74
42
63
58
51
17
59
59
43
49
65
26
50
41
55
52
35
61
58
67
48
54
61
42
89
61
63
35
80
51
100
40
24
33
32
18
25
22
18
37
30
34
41
29
21
30
28
24
38
19
35
24
30
22
35
15
21
23
20
20
36
27
23
17
39
22
20
38
23
28
19
25
16
14
22
33
21
21
18
29
20
14
38
28
43
24
33
20
24
18
15
30
32
22
24
15
37
32
34
21
22
28
31
19
33
19
50
40
36
29
27
36
46
36
12
25
27
31
37
28
33
12
24
31
29
21
34
31
18
20
33
27
20
39
36
25
45
28
21
24
32
27
28
54
22
27
25
28
11
13
45
33
31
33
20
25
24
31
20
24
29
25
25
17
19
30
28
18
23
20
13
21
22
15
19
24
16
11
13
24
24
12
37
24
19
10
25
19
100
26
20
18
20
31
32
27
22
12
8
13
30
19
36
27
34
23
23
19
22
85
13
22
19
23
29
30
35
12
28
35
16
23
34
11
17
25
21
19
27
19
24
24
16
12
29
40
27
15
29
30
19
25
19
19
19
26
26
26
28
31
20
24
19
31
16
18
20
27
26
25
21
28
15
29
31
22
14
25
28
28
22
27
17
14
23
16
12
