['Apink']
52
47
55
61
60
49
46
53
54
55
65
65
47
47
46
46
56
68
64
49
51
45
45
46
61
57
47
43
45
52
52
65
69
65
67
55
57
61
76
71
50
49
50
53
53
63
60
52
44
49
51
52
57
56
42
43
44
47
44
55
53
40
34
38
42
47
58
53
40
41
46
38
45
51
55
49
46
41
46
44
50
57
55
47
52
49
52
59
58
46
42
42
40
45
55
55
48
48
50
61
56
67
57
44
43
41
46
51
57
57
46
47
38
46
46
59
60
41
48
41
43
45
58
55
48
46
47
38
46
54
51
40
40
41
36
42
50
49
45
44
49
46
46
53
54
40
42
42
38
42
57
51
38
39
38
40
38
48
40
31
33
33
33
37
42
53
32
35
33
35
44
51
49
37
36
35
37
42
46
49
36
39
37
35
42
52
49
39
40
41
49
51
61
93
100
78
70
72
74
94
95
69
58
68
73
64
74
82
59
52
52
54
59
77
77
49
50
49
46
53
64
70
44
37
39
40
45
51
62
44
41
39
39
46
58
53
35
40
32
39
45
50
59
39
38
41
49
58
64
56
40
42
40
45
47
56
56
41
38
41
43
40
45
46
44
41
45
43
48
45
53
41
48
70
100
68
83
78
58
63
61
63
68
69
67
64
60
54
56
55
71
33
32
39
46
41
37
32
33
33
38
41
42
36
41
70
100
78
90
86
63
62
62
62
72
77
75
52
51
52
55
62
67
70
50
57
52
46
59
65
62
47
48
50
48
49
59
65
47
42
40
39
43
53
52
36
37
41
40
44
62
59
39
36
36
41
41
50
51
37
30
31
34
34
49
47
31
32
34
33
35
41
47
34
33
32
31
34
39
42
32
34
28
29
35
42
43
31
32
29
30
36
39
42
31
30
31
33
32
40
40
32
30
29
30
35
38
40
26
26
29
27
33
44
43
31
29
34
34
33
49
43
29
31
32
30
33
45
41
32
30
27
30
35
41
39
30
29
30
30
30
40
41
30
28
29
29
29
39
36
27
30
30
29
31
37
34
27
29
33
32
31
32
37
29
32
32
38
38
40
38
34
37
35
42
47
39
41
32
32
35
30
35
46
42
29
33
27
31
31
37
37
26
26
28
30
35
36
46
30
27
25
28
32
37
36
28
27
26
28
34
43
42
31
33
33
34
36
43
38
27
26
25
27
28
36
42
26
28
30
33
30
41
40
30
25
31
29
29
40
33
27
26
27
27
30
37
35
29
25
