['2PM']
77
100
56
60
54
58
57
51
60
58
58
54
60
58
62
67
58
64
60
55
58
67
55
56
50
54
52
62
62
57
56
55
53
52
57
51
56
61
63
58
53
60
50
47
54
54
49
47
51
52
54
49
51
50
52
57
51
52
50
46
50
48
49
52
52
50
51
50
54
54
58
62
53
52
52
52
53
60
54
51
49
48
57
57
66
71
63
63
65
64
74
73
71
64
65
61
60
68
71
71
66
62
63
56
56
63
63
55
54
54
58
60
63
71
56
56
52
59
54
64
58
52
52
53
60
56
63
62
52
57
52
55
54
62
81
56
61
58
64
67
86
72
60
57
56
55
57
53
58
53
70
54
52
53
56
49
50
52
52
52
53
58
58
55
54
47
51
54
54
55
51
52
50
59
54
51
57
47
54
48
52
53
50
53
50
50
54
55
52
56
68
99
61
55
57
69
49
48
51
52
51
52
47
45
50
46
49
58
55
59
53
54
49
55
54
51
57
69
70
51
58
56
60
64
66
72
82
93
75
67
71
80
74
64
58
70
70
64
68
68
71
65
57
61
69
78
66
61
64
61
60
60
60
56
52
51
52
57
55
58
57
57
68
63
53
57
59
54
59
61
81
82
83
72
63
55
54
57
59
50
51
54
52
54
44
64
100
57
55
47
54
84
76
88
89
85
71
74
78
76
74
85
100
65
71
72
74
72
73
81
80
98
97
84
86
87
95
73
79
82
76
80
73
82
74
67
68
72
71
71
83
64
64
69
65
68
75
80
66
66
60
59
66
84
93
83
65
67
65
63
83
77
64
63
67
87
76
71
71
62
61
65
65
58
67
70
55
52
65
62
55
65
70
57
54
54
60
53
67
63
62
67
62
57
57
65
65
58
57
66
75
72
68
67
56
67
68
66
59
63
67
63
71
71
70
67
78
65
59
63
59
67
68
68
58
54
55
51
57
57
63
62
52
56
58
72
53
56
61
50
56
50
52
56
53
52
50
46
45
43
45
49
54
45
49
49
45
49
49
54
48
51
54
46
51
54
53
54
68
59
50
50
55
50
50
44
50
52
47
54
60
55
47
53
55
59
53
55
56
74
65
58
52
59
55
51
50
47
52
51
60
59
50
51
58
55
57
68
60
50
49
45
45
46
50
56
51
57
49
60
50
52
46
48
52
46
54
49
52
54
45
47
49
46
51
57
50
43
52
52
49
45
49
56
46
42
51
60
42
46
56
51
49
47
45
48
45
50
52
49
